Runs :100
Difference : 0.001
0.621000 100 96 0.96
0.622000 100 98 0.98
0.623000 100 97 0.97
0.624000 100 97 0.97
0.625000 100 99 0.99
0.626000 100 97 0.97
0.627000 100 100 1.0
0.628000 100 99 0.99
0.629000 100 98 0.98
0.630000 100 100 1.0
0.631000 100 100 1.0
0.632000 100 100 1.0
0.633000 100 99 0.99
0.634000 100 99 0.99
0.635000 100 100 1.0
0.636000 100 100 1.0
0.637000 100 99 0.99
0.638000 100 99 0.99
0.639000 100 100 1.0
0.640000 100 100 1.0
0.641000 100 100 1.0
0.642000 100 100 1.0
0.643000 100 100 1.0
0.644000 100 100 1.0
0.645000 100 100 1.0
0.646000 100 100 1.0
0.647000 100 100 1.0
0.648000 100 100 1.0
0.649000 100 100 1.0
0.650000 100 100 1.0
0.651000 100 100 1.0
0.652000 100 100 1.0
0.653000 100 100 1.0
0.654000 100 100 1.0
0.655000 100 100 1.0
0.656000 100 100 1.0
0.657000 100 100 1.0
0.658000 100 100 1.0
0.659000 100 100 1.0
0.660000 100 100 1.0
0.661000 100 100 1.0
0.662000 100 100 1.0
0.663000 100 100 1.0
0.664000 100 100 1.0
0.665000 100 100 1.0
0.666000 100 100 1.0
0.667000 100 100 1.0
0.668000 100 100 1.0
0.669000 100 100 1.0
0.670000 100 100 1.0
0.671000 100 100 1.0
0.672000 100 100 1.0
0.673000 100 100 1.0
0.674000 100 100 1.0
0.675000 100 100 1.0
0.676000 100 100 1.0
0.677000 100 100 1.0
0.678000 100 100 1.0
0.679000 100 100 1.0
0.680000 100 100 1.0
0.681000 100 100 1.0
0.682000 100 100 1.0
0.683000 100 100 1.0
0.684000 100 100 1.0
0.685000 100 100 1.0
0.686000 100 100 1.0
0.687000 100 100 1.0
0.688000 100 100 1.0
0.689000 100 100 1.0
0.690000 100 100 1.0
0.691000 100 100 1.0
0.692000 100 100 1.0
0.693000 100 100 1.0
0.694000 100 100 1.0
0.695000 100 100 1.0
0.696000 100 100 1.0
0.697000 100 100 1.0
0.698000 100 100 1.0
0.699000 100 100 1.0
0.700000 100 100 1.0
0.701000 100 100 1.0
0.702000 100 100 1.0
0.703000 100 100 1.0
0.704000 100 100 1.0
0.705000 100 100 1.0
0.706000 100 100 1.0
0.707000 100 100 1.0
0.708000 100 100 1.0
0.709000 100 100 1.0
0.710000 100 100 1.0
0.711000 100 100 1.0
0.712000 100 100 1.0
0.713000 100 100 1.0
0.714000 100 100 1.0
0.715000 100 100 1.0
0.716000 100 100 1.0
0.717000 100 100 1.0
0.718000 100 100 1.0
0.719000 100 100 1.0
0.720000 100 100 1.0
0.721000 100 100 1.0
0.722000 100 100 1.0
0.723000 100 100 1.0
0.724000 100 100 1.0
0.725000 100 100 1.0
0.726000 100 100 1.0
0.727000 100 100 1.0
0.728000 100 100 1.0
0.729000 100 100 1.0
0.730000 100 100 1.0
0.731000 100 100 1.0
0.732000 100 100 1.0
0.733000 100 100 1.0
0.734000 100 100 1.0
0.735000 100 100 1.0
0.736000 100 100 1.0
0.737000 100 100 1.0
0.738000 100 100 1.0
0.739000 100 100 1.0
0.740000 100 100 1.0
0.741000 100 100 1.0
0.742000 100 100 1.0
0.743000 100 100 1.0
0.744000 100 100 1.0
0.745000 100 100 1.0
0.746000 100 100 1.0
0.747000 100 100 1.0
0.748000 100 100 1.0
0.749000 100 100 1.0
0.750000 100 100 1.0
0.751000 100 100 1.0
0.752000 100 100 1.0
0.753000 100 100 1.0
0.754000 100 100 1.0
0.755000 100 100 1.0
0.756000 100 100 1.0
0.757000 100 100 1.0
0.758000 100 100 1.0
0.759000 100 100 1.0
0.760000 100 100 1.0
0.761000 100 100 1.0
0.762000 100 100 1.0
0.763000 100 100 1.0
0.764000 100 100 1.0
0.765000 100 100 1.0
