Runs :50
Difference : 1.0E-4
0.0227000 50 0 0.0
0.0228000 50 0 0.0
0.0229000 50 0 0.0
0.0230000 50 0 0.0
0.0231000 50 0 0.0
0.0232000 50 0 0.0
0.0233000 50 0 0.0
0.0234000 50 0 0.0
0.0235000 50 0 0.0
0.0236000 50 0 0.0
0.0237000 50 0 0.0
0.0238000 50 0 0.0
0.0239000 50 0 0.0
0.0240000 50 0 0.0
0.0241000 50 0 0.0
0.0242000 50 0 0.0
0.0243000 50 0 0.0
0.0244000 50 0 0.0
0.0245000 50 0 0.0
0.0246000 50 0 0.0
0.0247000 50 0 0.0
0.0248000 50 0 0.0
0.0249000 50 0 0.0
0.0250000 50 0 0.0
0.0251000 50 0 0.0
0.0252000 50 0 0.0
0.0253000 50 0 0.0
0.0254000 50 0 0.0
0.0255000 50 0 0.0
0.0256000 50 0 0.0
0.0257000 50 0 0.0
0.0258000 50 0 0.0
0.0259000 50 0 0.0
0.0260000 50 0 0.0
0.0261000 50 0 0.0
0.0262000 50 0 0.0
0.0263000 50 0 0.0
0.0264000 50 0 0.0
0.0265000 50 0 0.0
0.0266000 50 0 0.0
0.0267000 50 0 0.0
0.0268000 50 0 0.0
0.0269000 50 0 0.0
0.0270000 50 0 0.0
0.0271000 50 0 0.0
0.0272000 50 0 0.0
0.0273000 50 0 0.0
0.0274000 50 0 0.0
0.0275000 50 0 0.0
0.0276000 50 0 0.0
0.0277000 50 0 0.0
0.0278000 50 0 0.0
0.0279000 50 0 0.0
0.0280000 50 0 0.0
0.0281000 50 0 0.0
0.0282000 50 0 0.0
0.0283000 50 0 0.0
0.0284000 50 0 0.0
0.0285000 50 0 0.0
0.0286000 50 0 0.0
0.0287000 50 0 0.0
0.0288000 50 0 0.0
0.0289000 50 0 0.0
0.0290000 50 0 0.0
0.0291000 50 0 0.0
0.0292000 50 0 0.0
0.0293000 50 0 0.0
0.0294000 50 0 0.0
0.0295000 50 0 0.0
0.0296000 50 0 0.0
0.0297000 50 0 0.0
0.0298000 50 0 0.0
0.0299000 50 0 0.0
0.0300000 50 0 0.0
0.0301000 50 0 0.0
0.0302000 50 0 0.0
0.0303000 50 0 0.0
0.0304000 50 0 0.0
0.0305000 50 0 0.0
0.0306000 50 0 0.0
0.0307000 50 0 0.0
0.0308000 50 0 0.0
0.0309000 50 0 0.0
0.0310000 50 0 0.0
0.0311000 50 0 0.0
0.0312000 50 0 0.0
0.0313000 50 0 0.0
0.0314000 50 0 0.0
0.0315000 50 0 0.0
0.0316000 50 0 0.0
0.0317000 50 0 0.0
0.0318000 50 0 0.0
0.0319000 50 0 0.0
0.0320000 50 0 0.0
0.0321000 50 0 0.0
