Runs :100
Difference : 0.001
0.550000 100 2 0.02
0.551000 100 0 0.0
0.552000 100 2 0.02
0.553000 100 1 0.01
0.554000 100 0 0.0
0.555000 100 1 0.01
0.556000 100 2 0.02
0.557000 100 1 0.01
0.558000 100 1 0.01
0.559000 100 3 0.03
0.560000 100 1 0.01
0.561000 100 5 0.05
0.562000 100 5 0.05
0.563000 100 1 0.01
0.564000 100 3 0.03
0.565000 100 2 0.02
0.566000 100 6 0.06
0.567000 100 5 0.05
0.568000 100 8 0.08
0.569000 100 6 0.06
0.570000 100 8 0.08
0.571000 100 10 0.1
0.572000 100 7 0.07
0.573000 100 11 0.11
0.574000 100 16 0.16
0.575000 100 21 0.21
0.576000 100 11 0.11
0.577000 100 16 0.16
0.578000 100 24 0.24
0.579000 100 13 0.13
0.580000 100 17 0.17
0.581000 100 25 0.25
0.582000 100 31 0.31
0.583000 100 30 0.3
0.584000 100 27 0.27
0.585000 100 33 0.33
0.586000 100 39 0.39
0.587000 100 40 0.4
0.588000 100 49 0.49
0.589000 100 37 0.37
0.590000 100 43 0.43
0.591000 100 46 0.46
0.592000 100 48 0.48
0.593000 100 46 0.46
0.594000 100 52 0.52
0.595000 100 57 0.57
0.596000 100 53 0.53
0.597000 100 71 0.71
0.598000 100 69 0.69
0.599000 100 65 0.65
0.600000 100 66 0.66
0.601000 100 73 0.73
0.602000 100 73 0.73
0.603000 100 70 0.7
0.604000 100 69 0.69
0.605000 100 76 0.76
0.606000 100 79 0.79
0.607000 100 83 0.83
0.608000 100 90 0.9
0.609000 100 86 0.86
0.610000 100 86 0.86
0.611000 100 80 0.8
0.612000 100 88 0.88
0.613000 100 89 0.89
0.614000 100 90 0.9
0.615000 100 91 0.91
0.616000 100 88 0.88
0.617000 100 96 0.96
0.618000 100 98 0.98
0.619000 100 94 0.94
0.620000 100 94 0.94
0.621000 100 99 0.99
0.622000 100 96 0.96
0.623000 100 96 0.96
0.624000 100 98 0.98
0.625000 100 99 0.99
0.626000 100 97 0.97
0.627000 100 100 1.0
0.628000 100 98 0.98
0.629000 100 97 0.97
0.630000 100 97 0.97
0.631000 100 99 0.99
0.632000 100 100 1.0
0.633000 100 99 0.99
0.634000 100 99 0.99
0.635000 100 98 0.98
0.636000 100 100 1.0
0.637000 100 100 1.0
0.638000 100 99 0.99
0.639000 100 100 1.0
0.640000 100 100 1.0
0.641000 100 100 1.0
0.642000 100 99 0.99
0.643000 100 100 1.0
0.644000 100 100 1.0
0.645000 100 100 1.0
0.646000 100 99 0.99
0.647000 100 100 1.0
0.648000 100 100 1.0
0.649000 100 100 1.0
