Runs :200
Difference : 2.0E-4
0.550000 200 0 0.0
0.550200 200 0 0.0
0.550400 200 0 0.0
0.550600 200 0 0.0
0.550800 200 0 0.0
0.551000 200 0 0.0
0.551200 200 0 0.0
0.551400 200 0 0.0
0.551600 200 0 0.0
0.551800 200 0 0.0
0.552000 200 0 0.0
0.552200 200 0 0.0
0.552400 200 0 0.0
0.552600 200 0 0.0
0.552800 200 0 0.0
0.553000 200 0 0.0
0.553200 200 0 0.0
0.553400 200 0 0.0
0.553600 200 0 0.0
0.553800 200 0 0.0
0.554000 200 0 0.0
0.554200 200 0 0.0
0.554400 200 0 0.0
0.554600 200 0 0.0
0.554800 200 0 0.0
0.555000 200 0 0.0
0.555200 200 0 0.0
0.555400 200 0 0.0
0.555600 200 0 0.0
0.555800 200 0 0.0
0.556000 200 0 0.0
0.556200 200 0 0.0
0.556400 200 0 0.0
0.556600 200 0 0.0
0.556800 200 0 0.0
0.557000 200 0 0.0
0.557200 200 0 0.0
0.557400 200 0 0.0
0.557600 200 0 0.0
0.557800 200 0 0.0
0.558000 200 0 0.0
0.558200 200 1 0.005
0.558400 200 1 0.005
0.558600 200 0 0.0
0.558800 200 0 0.0
0.559000 200 0 0.0
0.559200 200 1 0.005
0.559400 200 0 0.0
0.559600 200 0 0.0
0.559800 200 0 0.0
0.560000 200 0 0.0
0.560200 200 0 0.0
0.560400 200 0 0.0
0.560600 200 0 0.0
0.560800 200 0 0.0
0.561000 200 0 0.0
0.561200 200 0 0.0
0.561400 200 0 0.0
0.561600 200 0 0.0
0.561800 200 0 0.0
0.562000 200 0 0.0
0.562200 200 0 0.0
0.562400 200 0 0.0
0.562600 200 0 0.0
0.562800 200 0 0.0
0.563000 200 0 0.0
0.563200 200 0 0.0
0.563400 200 0 0.0
0.563600 200 0 0.0
0.563800 200 0 0.0
0.564000 200 1 0.005
0.564200 200 1 0.005
0.564400 200 0 0.0
0.564600 200 1 0.005
0.564800 200 0 0.0
0.565000 200 3 0.015
0.565200 200 0 0.0
0.565400 200 0 0.0
0.565600 200 0 0.0
0.565800 200 1 0.005
0.566000 200 0 0.0
0.566200 200 0 0.0
0.566400 200 0 0.0
0.566600 200 0 0.0
0.566800 200 0 0.0
0.567000 200 0 0.0
0.567200 200 0 0.0
0.567400 200 2 0.01
0.567600 200 0 0.0
0.567800 200 3 0.015
0.568000 200 1 0.005
0.568200 200 2 0.01
0.568400 200 1 0.005
0.568600 200 4 0.02
0.568800 200 1 0.005
0.569000 200 2 0.01
0.569200 200 2 0.01
0.569400 200 2 0.01
0.569600 200 1 0.005
0.569800 200 3 0.015
0.570000 200 0 0.0
0.570200 200 1 0.005
0.570400 200 5 0.025
0.570600 200 1 0.005
0.570800 200 0 0.0
0.571000 200 3 0.015
0.571200 200 4 0.02
0.571400 200 3 0.015
0.571600 200 2 0.01
0.571800 200 2 0.01
0.572000 200 3 0.015
0.572200 200 5 0.025
0.572400 200 4 0.02
0.572600 200 4 0.02
0.572800 200 3 0.015
0.573000 200 5 0.025
0.573200 200 0 0.0
0.573400 200 4 0.02
0.573600 200 3 0.015
0.573800 200 4 0.02
0.574000 200 5 0.025
0.574200 200 3 0.015
0.574400 200 6 0.03
0.574600 200 7 0.035
0.574800 200 6 0.03
0.575000 200 4 0.02
0.575200 200 10 0.05
0.575400 200 9 0.045
0.575600 200 5 0.025
0.575800 200 10 0.05
0.576000 200 11 0.055
0.576200 200 4 0.02
0.576400 200 16 0.08
0.576600 200 3 0.015
0.576800 200 9 0.045
0.577000 200 4 0.02
0.577200 200 10 0.05
0.577400 200 10 0.05
0.577600 200 12 0.06
0.577800 200 11 0.055
0.578000 200 7 0.035
0.578200 200 18 0.09
0.578400 200 17 0.085
0.578600 200 18 0.09
0.578800 200 8 0.04
0.579000 200 18 0.09
0.579200 200 18 0.09
0.579400 200 6 0.03
0.579600 200 24 0.12
0.579800 200 12 0.06
0.580000 200 20 0.1
0.580200 200 27 0.135
0.580400 200 17 0.085
0.580600 200 16 0.08
0.580800 200 22 0.11
0.581000 200 22 0.11
0.581200 200 16 0.08
0.581400 200 18 0.09
0.581600 200 26 0.13
0.581800 200 22 0.11
0.582000 200 23 0.115
0.582200 200 22 0.11
0.582400 200 27 0.135
0.582600 200 12 0.06
0.582800 200 29 0.145
0.583000 200 33 0.165
0.583200 200 32 0.16
0.583400 200 30 0.15
0.583600 200 37 0.185
0.583800 200 28 0.14
0.584000 200 42 0.21
0.584200 200 35 0.175
0.584400 200 38 0.19
0.584600 200 40 0.2
0.584800 200 36 0.18
0.585000 200 48 0.24
0.585200 200 44 0.22
0.585400 200 37 0.185
0.585600 200 40 0.2
0.585800 200 58 0.29
0.586000 200 46 0.23
0.586200 200 39 0.195
0.586400 200 49 0.245
0.586600 200 50 0.25
0.586800 200 46 0.23
0.587000 200 70 0.35
0.587200 200 56 0.28
0.587400 200 67 0.335
0.587600 200 48 0.24
0.587800 200 55 0.275
0.588000 200 62 0.31
0.588200 200 71 0.355
0.588400 200 61 0.305
0.588600 200 60 0.3
0.588800 200 64 0.32
0.589000 200 66 0.33
0.589200 200 58 0.29
0.589400 200 79 0.395
0.589600 200 72 0.36
0.589800 200 75 0.375
