Runs :100
Difference : 0.001
0.550000 100 0 0.0
0.551000 100 0 0.0
0.552000 100 0 0.0
0.553000 100 0 0.0
0.554000 100 0 0.0
0.555000 100 0 0.0
0.556000 100 0 0.0
0.557000 100 0 0.0
0.558000 100 0 0.0
0.559000 100 0 0.0
0.560000 100 0 0.0
0.561000 100 0 0.0
0.562000 100 0 0.0
0.563000 100 0 0.0
0.564000 100 0 0.0
0.565000 100 0 0.0
0.566000 100 0 0.0
0.567000 100 0 0.0
0.568000 100 0 0.0
0.569000 100 0 0.0
0.570000 100 0 0.0
0.571000 100 0 0.0
0.572000 100 0 0.0
0.573000 100 0 0.0
0.574000 100 0 0.0
0.575000 100 0 0.0
0.576000 100 0 0.0
0.577000 100 0 0.0
0.578000 100 0 0.0
0.579000 100 0 0.0
0.580000 100 0 0.0
0.581000 100 0 0.0
0.582000 100 2 0.02
0.583000 100 4 0.04
0.584000 100 3 0.03
0.585000 100 8 0.08
0.586000 100 6 0.06
0.587000 100 15 0.15
0.588000 100 19 0.19
0.589000 100 21 0.21
0.590000 100 30 0.3
0.591000 100 38 0.38
0.592000 100 50 0.5
0.593000 100 53 0.53
0.594000 100 54 0.54
0.595000 100 73 0.73
0.596000 100 67 0.67
0.597000 100 82 0.82
0.598000 100 89 0.89
0.599000 100 94 0.94
0.600000 100 98 0.98
0.601000 100 94 0.94
0.602000 100 96 0.96
0.603000 100 97 0.97
0.604000 100 98 0.98
0.605000 100 100 1.0
0.606000 100 100 1.0
0.607000 100 100 1.0
0.608000 100 100 1.0
0.609000 100 100 1.0
0.610000 100 100 1.0
0.611000 100 100 1.0
0.612000 100 100 1.0
0.613000 100 100 1.0
0.614000 100 100 1.0
0.615000 100 100 1.0
0.616000 100 100 1.0
0.617000 100 100 1.0
0.618000 100 100 1.0
0.619000 100 100 1.0
0.620000 100 100 1.0
0.621000 100 100 1.0
0.622000 100 100 1.0
0.623000 100 100 1.0
0.624000 100 100 1.0
0.625000 100 100 1.0
0.626000 100 100 1.0
0.627000 100 100 1.0
0.628000 100 100 1.0
0.629000 100 100 1.0
0.630000 100 100 1.0
0.631000 100 100 1.0
0.632000 100 100 1.0
0.633000 100 100 1.0
0.634000 100 100 1.0
0.635000 100 100 1.0
0.636000 100 100 1.0
0.637000 100 100 1.0
0.638000 100 100 1.0
0.639000 100 100 1.0
0.640000 100 100 1.0
0.641000 100 100 1.0
0.642000 100 100 1.0
0.643000 100 100 1.0
0.644000 100 100 1.0
0.645000 100 100 1.0
0.646000 100 100 1.0
0.647000 100 100 1.0
0.648000 100 100 1.0
0.649000 100 100 1.0
