Runs: 50
Size : 500
500 148986 0.595944
500 148044 0.592176
500 149988 0.599952
500 148914 0.595656
500 147684 0.590736
500 148097 0.592388
500 147913 0.591652
500 145696 0.582784
500 148023 0.592092
500 149362 0.597448
500 148776 0.595104
500 149838 0.599352
500 147282 0.589128
500 146611 0.586444
500 147454 0.589816
500 147993 0.591972
500 150570 0.60228
500 148519 0.594076
500 147796 0.591184
500 147404 0.589616
500 148191 0.592764
500 149651 0.598604
500 147403 0.589612
500 146407 0.585628
500 148850 0.5954
500 145402 0.581608
500 146248 0.584992
500 148551 0.594204
500 150184 0.600736
500 148479 0.593916
500 147220 0.58888
500 148611 0.594444
500 148407 0.593628
500 147766 0.591064
500 147694 0.590776
500 149266 0.597064
500 148222 0.592888
500 148815 0.59526
500 149544 0.598176
500 147057 0.588228
500 146577 0.586308
500 146879 0.587516
500 146351 0.585404
500 150711 0.602844
500 147966 0.591864
500 146051 0.584204
500 146938 0.587752
500 146706 0.586824
500 147167 0.588668
500 149397 0.597588

Size : 550
550 178893 0.59138185
550 179012 0.5917752
550 178652 0.5905851
550 180681 0.59729254
550 176761 0.5843339
550 178349 0.58958346
550 179873 0.5946215
550 180549 0.5968562
550 178922 0.5914777
550 179022 0.59180826
550 178347 0.58957684
550 177837 0.5878909
550 179450 0.59322315
550 179065 0.5919504
550 179734 0.594162
550 180139 0.5955008
550 180337 0.59615535
550 178571 0.59031737
550 180118 0.5954314
550 180469 0.5965917
550 180806 0.5977058
550 180006 0.5950612
550 179108 0.5920926
550 180256 0.5958876
550 178442 0.5898909
550 178453 0.58992726
550 176970 0.5850248
550 179115 0.5921157
550 179418 0.59311736
550 177941 0.5882347
550 177821 0.587838
550 177358 0.58630747
550 180544 0.59683967
550 180863 0.5978942
550 179235 0.59251237
550 178826 0.59116036
550 179395 0.5930413
550 178761 0.5909455
550 180159 0.5955669
550 180107 0.595395
550 177960 0.58829755
550 177666 0.58732563
550 178376 0.58967274
550 177088 0.5854149
550 179257 0.59258515
550 177900 0.5880992
550 180004 0.59505457
550 179905 0.5947273
550 179243 0.59253883
550 179737 0.5941719

Size : 600
600 213208 0.59224445
600 213336 0.5926
600 211084 0.5863444
600 214935 0.59704167
600 212875 0.59131944
600 214680 0.5963333
600 214220 0.5950556
600 214257 0.59515834
600 212200 0.58944446
600 213837 0.59399164
600 214577 0.5960472
600 213616 0.59337777
600 215420 0.5983889
600 211954 0.5887611
600 214779 0.59660834
600 215225 0.5978472
