Runs: 100
Size : 50
50 1453 0.5812
50 1508 0.6032
50 1520 0.608
50 1434 0.5736
50 1507 0.6028
50 1459 0.5836
50 1497 0.5988
50 1335 0.534
50 1443 0.5772
50 1511 0.6044
50 1445 0.578
50 1469 0.5876
50 1552 0.6208
50 1341 0.5364
50 1573 0.6292
50 1495 0.598
50 1407 0.5628
50 1545 0.618
50 1462 0.5848
50 1499 0.5996
50 1446 0.5784
50 1523 0.6092
50 1448 0.5792
50 1562 0.6248
50 1387 0.5548
50 1511 0.6044
50 1423 0.5692
50 1474 0.5896
50 1406 0.5624
50 1487 0.5948
50 1359 0.5436
50 1514 0.6056
50 1400 0.56
50 1539 0.6156
50 1482 0.5928
50 1462 0.5848
50 1396 0.5584
50 1469 0.5876
50 1529 0.6116
50 1410 0.564
50 1413 0.5652
50 1483 0.5932
50 1415 0.566
50 1563 0.6252
50 1492 0.5968
50 1619 0.6476
50 1430 0.572
50 1436 0.5744
50 1368 0.5472
50 1644 0.6576
50 1566 0.6264
50 1461 0.5844
50 1571 0.6284
50 1474 0.5896
50 1540 0.616
50 1489 0.5956
50 1379 0.5516
50 1297 0.5188
50 1497 0.5988
50 1509 0.6036
50 1376 0.5504
50 1481 0.5924
50 1528 0.6112
50 1516 0.6064
50 1503 0.6012
50 1392 0.5568
50 1421 0.5684
50 1433 0.5732
50 1577 0.6308
50 1517 0.6068
50 1509 0.6036
50 1466 0.5864
50 1512 0.6048
50 1466 0.5864
50 1483 0.5932
50 1490 0.596
50 1332 0.5328
50 1560 0.624
50 1434 0.5736
50 1523 0.6092
50 1531 0.6124
50 1496 0.5984
50 1402 0.5608
50 1443 0.5772
50 1389 0.5556
50 1504 0.6016
50 1456 0.5824
50 1462 0.5848
50 1474 0.5896
50 1637 0.6548
50 1533 0.6132
50 1547 0.6188
50 1520 0.608
50 1429 0.5716
50 1488 0.5952
50 1433 0.5732
50 1551 0.6204
50 1318 0.5272
50 1420 0.568
50 1502 0.6008

Size : 60
60 2190 0.60833335
60 2205 0.6125
60 2178 0.605
60 2183 0.60638887
60 2119 0.5886111
60 2202 0.6116667
60 2032 0.5644444
60 2112 0.58666664
60 1935 0.5375
60 2083 0.57861114
60 2227 0.6186111
60 2211 0.6141667
60 2121 0.58916664
60 2156 0.5988889
60 2210 0.61388886
60 2187 0.6075
60 2154 0.59833336
60 2315 0.64305556
60 1940 0.5388889
60 2122 0.58944446
60 2168 0.6022222
60 2119 0.5886111
60 2088 0.58
60 2083 0.57861114
60 2123 0.5897222
60 2114 0.5872222
60 2148 0.5966667
60 2033 0.56472224
60 2080 0.5777778
60 2174 0.60388887
60 2053 0.57027775
60 2285 0.63472223
60 2122 0.58944446
60 2189 0.60805553
60 2045 0.56805557
60 2232 0.62
60 2127 0.5908333
60 2132 0.5922222
60 2174 0.60388887
60 2138 0.5938889
60 2174 0.60388887
60 2227 0.6186111
60 2166 0.6016667
60 2222 0.61722225
60 2222 0.61722225
60 2192 0.60888886
60 2125 0.5902778
60 2244 0.62333333
60 2145 0.59583336
60 2244 0.62333333
60 2172 0.60333335
60 2045 0.56805557
60 2009 0.5580556
60 2072 0.57555556
60 2162 0.60055554
60 1993 0.5536111
60 2096 0.5822222
60 2158 0.59944445
60 2214 0.615
60 2086 0.57944447
60 2095 0.58194447
60 2090 0.58055556
60 2110 0.5861111
60 2016 0.56
60 2036 0.5655556
60 2169 0.6025
60 2058 0.57166666
60 2227 0.6186111
60 2098 0.5827778
60 2175 0.6041667
60 2199 0.61083335
60 2043 0.5675
60 2145 0.59583336
60 2247 0.62416667
60 2011 0.5586111
60 2012 0.5588889
60 2081 0.57805556
60 2041 0.5669444
60 2022 0.56166667
60 2260 0.62777776
60 2255 0.6263889
60 2317 0.64361113
60 2220 0.6166667
60 2136 0.5933333
60 2190 0.60833335
60 1999 0.55527776
60 2246 0.6238889
60 2174 0.60388887
60 2044 0.56777775
60 2220 0.6166667
60 2048 0.5688889
60 2201 0.61138886
60 2157 0.5991667
60 2046 0.5683333
60 2217 0.61583334
60 2080 0.5777778
60 2203 0.61194444
60 1942 0.53944445
60 2171 0.60305554
60 2203 0.61194444

Size : 70
70 2921 0.59612244
70 2863 0.58428574
70 2864 0.5844898
70 2984 0.6089796
70 2796 0.57061225
70 2928 0.59755105
