Runs: 10
Size : 300
300 53702 0.59668887
300 52430 0.58255553
300 55041 0.61156666
300 52536 0.5837333
300 53873 0.5985889
300 53581 0.5953444
300 53259 0.59176666
300 53390 0.5932222
300 53528 0.59475553
300 52442 0.58268887

Size : 310
310 57471 0.5980333
310 56946 0.59257025
310 57689 0.60030174
310 57420 0.5975026
310 56904 0.5921332
310 57696 0.60037464
310 57701 0.6004266
310 57196 0.5951717
310 55807 0.580718
310 56953 0.5926431

Size : 320
320 60981 0.5955176
320 60109 0.587002
320 60124 0.5871484
320 60893 0.5946582
320 59909 0.58504885
320 59889 0.58485353
320 60314 0.5890039
320 61438 0.5999805
320 60790 0.59365237
320 60939 0.59510744

Size : 330
330 65894 0.6050872
330 64648 0.5936456
330 64238 0.58988065
330 65260 0.5992654
330 64109 0.58869606
330 65730 0.60358125
330 63573 0.5837741
330 63901 0.58678603
330 65615 0.60252523
330 64341 0.59082645

Size : 340
340 66350 0.5739619
340 69732 0.603218
340 68359 0.59134084
340 68181 0.589801
340 68483 0.5924135
340 69124 0.5979585
340 69074 0.59752595
340 67503 0.583936
340 68753 0.59474915
340 68307 0.590891

Size : 350
350 73925 0.6034694
350 73778 0.6022694
350 73415 0.5993061
350 72744 0.59382856
350 72655 0.59310204
350 72786 0.5941714
350 71786 0.5860082
350 72162 0.58907753
350 72507 0.59189385
350 72569 0.5924

Size : 360
360 76442 0.5898302
360 77021 0.5942978
360 76560 0.59074074
360 76988 0.5940432
360 77814 0.60041666
360 75354 0.5814352
360 77400 0.5972222
360 77427 0.5974305
360 77088 0.59481484
360 77526 0.5981944

Size : 370
370 81749 0.5971439
370 81643 0.5963696
370 82195 0.60040176
370 81096 0.59237397
370 80910 0.59101534
370 80953 0.59132946
370 80632 0.58898467
370 81529 0.5955369
370 82678 0.6039299
370 81121 0.5925566

Size : 380
380 86732 0.60063714
380 85729 0.5936911
380 85498 0.59209144
380 85144 0.5896399
380 85805 0.5942175
380 85148 0.5896676
380 86277 0.59748614
380 85635 0.59304017
380 85706 0.59353185
380 86255 0.5973338

Size : 390
390 88386 0.5811045
390 89063 0.58555555
390 89893 0.5910125
390 88640 0.5827745
390 91413 0.6010059
390 90452 0.5946877
390 90067 0.59215647
390 90478 0.59485865
390 92042 0.60514134
390 89791 0.59034187

Size : 400
400 95976 0.59985
400 94252 0.589075
400 94935 0.59334373
400 93311 0.5831938
400 94728 0.59205
400 93519 0.58449376
400 94410 0.5900625
400 93667 0.58541876
400 94894 0.5930875
400 95235 0.5952188
