Runs: 10
Size : 400
400 94807 0.5925437
400 95017 0.5938563
400 95587 0.5974187
400 94268 0.589175
400 95314 0.5957125
400 92313 0.5769563
400 94796 0.592475
400 96783 0.60489374
400 94972 0.593575
400 94831 0.59269375

Size : 410
410 100780 0.5995241
410 99864 0.59407496
410 99442 0.59156454
410 100615 0.5985425
410 98912 0.5884117
410 99913 0.59436643
410 98877 0.58820343
410 100242 0.5963236
410 99629 0.592677
410 99111 0.5895955

Size : 420
420 105829 0.5999376
420 105884 0.6002494
420 104844 0.59435374
420 103886 0.5889229
420 104543 0.5926474
420 105236 0.596576
420 105648 0.5989116
420 105476 0.5979365
420 104930 0.59484124
420 104452 0.5921315

Size : 430
430 109850 0.59410495
430 109683 0.59320176
430 110342 0.5967658
430 109134 0.59023255
430 109352 0.5914116
430 109614 0.5928286
430 110239 0.59620875
430 109357 0.5914386
430 110389 0.59702003
430 107113 0.5793023

Size : 440
440 114140 0.5895661
440 114064 0.58917356
440 115136 0.59471077
440 114546 0.59166324
440 114642 0.5921591
440 115401 0.5960795
440 113039 0.5838791
440 115299 0.5955527
440 114532 0.5915909
440 115138 0.5947211

Size : 450
450 122188 0.60339755
450 118489 0.5851309
450 119705 0.5911358
450 117891 0.58217776
450 119231 0.58879507
450 119557 0.5904049
450 120029 0.5927358
450 121187 0.5984543
450 120584 0.59547657
450 119881 0.59200495

Size : 460
460 127374 0.60195655
460 123943 0.58574194
460 124101 0.58648866
460 125631 0.5937193
460 125377 0.5925189
460 125589 0.5935208
460 124617 0.5889272
460 124460 0.58818525
460 127541 0.6027458
460 124067 0.58632797

Size : 470
470 129222 0.58497965
470 131280 0.59429604
470 130822 0.59222275
470 129016 0.5840471
470 131727 0.5963196
470 129915 0.5881168
470 130705 0.5916931
470 131465 0.59513354
470 134518 0.60895425
470 132037 0.59772295

Size : 480
480 136962 0.5944531
480 137706 0.5976823
480 135144 0.5865625
480 135649 0.58875436
480 135906 0.5898698
480 136111 0.5907596
480 133715 0.58036023
480 137366 0.5962066
480 137235 0.59563804
480 135244 0.58699656

Size : 490
490 141813 0.5906414
490 143059 0.5958309
490 141664 0.59002084
490 144260 0.600833
490 143627 0.59819657
490 143033 0.5957226
490 142846 0.59494376
490 143533 0.5978051
490 143932 0.59946686
490 142714 0.594394

Size : 500
500 147278 0.589112
500 147133 0.588532
500 149853 0.599412
500 149013 0.596052
500 148440 0.59376
500 147246 0.588984
500 149355 0.59742
500 148675 0.5947
500 149951 0.599804
500 148611 0.594444
