Runs: 50
Size : 100
100 5678 0.5678
100 6119 0.6119
100 5837 0.5837
100 6181 0.6181
100 6059 0.6059
100 5971 0.5971
100 5874 0.5874
100 5823 0.5823
100 6087 0.6087
100 5930 0.593
100 5982 0.5982
100 6075 0.6075
100 6122 0.6122
100 5666 0.5666
100 6122 0.6122
100 6085 0.6085
100 5996 0.5996
100 5928 0.5928
100 6172 0.6172
100 5846 0.5846
100 5878 0.5878
100 5831 0.5831
100 5998 0.5998
100 6105 0.6105
100 6051 0.6051
100 6027 0.6027
100 6298 0.6298
100 5850 0.585
100 6112 0.6112
100 5900 0.59
100 5738 0.5738
100 5683 0.5683
100 5970 0.597
100 6305 0.6305
100 6067 0.6067
100 6139 0.6139
100 6130 0.613
100 6066 0.6066
100 5888 0.5888
100 5844 0.5844
100 6047 0.6047
100 5864 0.5864
100 5843 0.5843
100 5856 0.5856
100 5860 0.586
100 5869 0.5869
100 6045 0.6045
100 6129 0.6129
100 6009 0.6009
100 5746 0.5746

Size : 150
150 13100 0.5822222
150 13990 0.6217778
150 13745 0.6108889
150 13183 0.5859111
150 13054 0.5801778
150 13318 0.59191114
150 13468 0.5985778
150 13624 0.6055111
150 13529 0.6012889
150 13600 0.60444444
150 13359 0.5937333
150 13098 0.58213335
150 12942 0.5752
150 13279 0.5901778
150 13396 0.5953778
150 12644 0.5619556
150 13460 0.5982222
150 13557 0.60253334
150 13914 0.6184
150 13330 0.5924444
150 13506 0.6002667
150 13756 0.6113778
150 13272 0.58986664
150 13050 0.58
150 13462 0.5983111
150 13181 0.5858222
150 13209 0.58706665
150 13731 0.6102667
150 13356 0.5936
150 13382 0.59475553
150 13226 0.5878222
150 13115 0.5828889
150 13217 0.58742225
150 13084 0.58151114
150 13072 0.5809778
150 13670 0.60755557
150 13450 0.5977778
150 12966 0.57626665
150 13482 0.5992
150 13405 0.59577775
150 13191 0.5862667
150 13787 0.61275554
150 13368 0.5941333
150 13494 0.59973335
150 13146 0.58426666
150 13339 0.5928444
150 12935 0.5748889
150 13522 0.6009778
150 13264 0.5895111
150 13224 0.5877333

Size : 200
200 23710 0.59275
200 24113 0.602825
200 23581 0.589525
200 24150 0.60375
200 23422 0.58555
200 23436 0.5859
200 23826 0.59565
200 23227 0.580675
200 24021 0.600525
200 22623 0.565575
200 23027 0.575675
200 23799 0.594975
200 24278 0.60695
200 23532 0.5883
200 23871 0.596775
200 23701 0.592525
200 24044 0.6011
200 23142 0.57855
200 24056 0.6014
200 24389 0.609725
200 23969 0.599225
200 24317 0.607925
200 23880 0.597
200 24101 0.602525
200 23928 0.5982
200 23252 0.5813
200 23016 0.5754
200 24461 0.611525
200 23861 0.596525
200 23459 0.586475
200 23717 0.592925
200 23833 0.595825
200 23724 0.5931
200 24267 0.606675
200 23403 0.585075
200 24270 0.60675
200 23553 0.588825
200 23907 0.597675
200 24137 0.603425
200 23883 0.597075
200 24053 0.601325
200 23376 0.5844
200 24340 0.6085
200 24294 0.60735
200 24447 0.611175
200 23926 0.59815
200 23603 0.590075
200 23689 0.592225
200 23945 0.598625
200 24042 0.60105

Size : 250
250 37364 0.597824
250 37309 0.596944
250 37959 0.607344
250 36113 0.577808
250 37551 0.600816
250 37389 0.598224
250 38167 0.610672
250 36597 0.585552
250 36638 0.586208
250 37732 0.603712
250 37063 0.593008
250 36041 0.576656
250 36376 0.582016
250 37024 0.592384
250 35807 0.572912
250 37035 0.59256
250 37043 0.592688
250 37222 0.595552
250 37335 0.59736
250 36628 0.586048
250 37949 0.607184
250 36316 0.581056
250 37410 0.59856
250 36945 0.59112
250 37014 0.592224
250 36793 0.588688
250 36934 0.590944
250 36484 0.583744
250 36622 0.585952
250 37608 0.601728
250 37149 0.594384
250 37046 0.592736
