Runs: 10
Size : 200
200 23894 0.59735
200 24220 0.6055
200 23743 0.593575
200 22979 0.574475
200 23900 0.5975
200 24516 0.6129
200 23725 0.593125
200 24205 0.605125
200 23744 0.5936
200 23782 0.59455

Size : 210
210 26234 0.5948753
210 25560 0.5795918
210 26692 0.6052608
210 25949 0.5884127
210 25809 0.5852381
210 26045 0.5905896
210 26323 0.5968934
210 26498 0.60086167
210 26869 0.6092744
210 26107 0.5919955

Size : 220
220 28997 0.59911156
220 28871 0.59650826
220 29345 0.60630167
220 28275 0.58419424
220 28869 0.59646696
220 29691 0.6134504
220 28715 0.59328514
220 28687 0.5927066
220 28628 0.5914876
220 28201 0.58266526

Size : 230
230 31974 0.60442346
230 31277 0.5912476
230 31401 0.5935917
230 31529 0.59601134
230 31798 0.6010964
230 30895 0.58402646
230 30828 0.5827599
230 31272 0.59115314
230 32221 0.60909265
230 31057 0.5870888

Size : 240
240 34177 0.5933507
240 33644 0.5840972
240 34404 0.59729165
240 34636 0.60131943
240 32972 0.57243055
240 34390 0.59704864
240 33897 0.5884896
240 34478 0.59857637
240 34570 0.6001736
240 33881 0.58821183

Size : 250
250 36382 0.582112
250 35903 0.574448
250 36101 0.577616
250 37155 0.59448
250 37934 0.606944
250 37235 0.59576
250 37102 0.593632
250 37482 0.599712
250 37127 0.594032
250 37333 0.597328

Size : 260
260 39701 0.5872929
260 39980 0.5914201
260 39616 0.5860355
260 39737 0.5878254
260 40065 0.59267753
260 40206 0.59476334
260 40775 0.60318047
260 39932 0.59071004
260 40363 0.5970858
260 39888 0.59005916

Size : 270
270 43563 0.597572
270 43297 0.5939232
270 44404 0.6091084
270 42681 0.58547324
270 43152 0.59193414
270 42485 0.58278465
270 43890 0.60205764
270 44512 0.61058986
270 43694 0.599369
270 43154 0.59196156

Size : 280
280 46015 0.58692604
280 47368 0.6041837
280 45849 0.58480865
280 45929 0.5858291
280 46344 0.59112245
280 46587 0.59422195
280 47254 0.6027296
280 45596 0.58158165
280 46175 0.58896685
280 46957 0.5989413

Size : 290
290 50993 0.60633767
290 49824 0.59243757
290 48723 0.579346
290 48439 0.5759691
290 49892 0.59324616
290 49740 0.5914388
290 49457 0.58807373
290 49335 0.5866231
290 50608 0.6017598
290 49349 0.58678955

Size : 300
300 53068 0.58964443
300 54896 0.60995555
300 53183 0.59092224
300 53547 0.59496665
300 53466 0.5940667
300 53043 0.5893667
300 53073 0.5897
300 53920 0.59911114
300 52751 0.5861222
300 53434 0.59371114
