Runs: 50
Size : 50
50 1345 0.538
50 1580 0.632
50 1520 0.608
50 1507 0.6028
50 1582 0.6328
50 1403 0.5612
50 1466 0.5864
50 1442 0.5768
50 1379 0.5516
50 1474 0.5896
50 1432 0.5728
50 1411 0.5644
50 1566 0.6264
50 1422 0.5688
50 1389 0.5556
50 1444 0.5776
50 1519 0.6076
50 1636 0.6544
50 1586 0.6344
50 1406 0.5624
50 1438 0.5752
50 1501 0.6004
50 1538 0.6152
50 1554 0.6216
50 1510 0.604
50 1469 0.5876
50 1496 0.5984
50 1486 0.5944
50 1535 0.614
50 1490 0.596
50 1517 0.6068
50 1451 0.5804
50 1482 0.5928
50 1433 0.5732
50 1418 0.5672
50 1516 0.6064
50 1441 0.5764
50 1518 0.6072
50 1384 0.5536
50 1497 0.5988
50 1489 0.5956
50 1473 0.5892
50 1579 0.6316
50 1528 0.6112
50 1444 0.5776
50 1506 0.6024
50 1433 0.5732
50 1550 0.62
50 1542 0.6168
50 1485 0.594

Size : 55
55 1622 0.5361983
55 1960 0.6479339
55 1805 0.59669423
55 1820 0.6016529
55 1850 0.61157024
55 1854 0.61289257
55 1896 0.6267769
55 1885 0.6231405
55 1815 0.6
55 1841 0.608595
55 1792 0.5923967
55 1983 0.6555372
55 1750 0.5785124
55 1666 0.5507438
55 1851 0.6119008
55 1756 0.5804959
55 1799 0.59471077
55 1793 0.59272724
55 1720 0.56859505
55 2017 0.66677684
55 1908 0.6307438
55 1836 0.6069422
55 1815 0.6
55 1737 0.5742149
55 1819 0.6013223
55 1781 0.5887603
55 1727 0.5709091
55 1758 0.581157
55 1881 0.6218182
55 1771 0.5854545
55 1687 0.557686
55 1726 0.5705785
55 1802 0.59570247
55 1853 0.612562
55 1756 0.5804959
55 1662 0.5494215
55 1833 0.6059504
55 1779 0.5880992
55 1692 0.55933887
55 1840 0.60826445
55 1783 0.5894215
55 1700 0.56198347
55 1729 0.5715703
55 1784 0.5897521
55 1800 0.59504133
55 1811 0.5986777
55 1785 0.59008265
55 1827 0.60396695
55 1723 0.56958675
55 1846 0.6102479

Size : 60
60 2172 0.60333335
60 2026 0.56277776
60 2145 0.59583336
60 2096 0.5822222
60 2137 0.5936111
60 2182 0.6061111
60 2257 0.6269444
60 2133 0.5925
60 2073 0.5758333
60 2122 0.58944446
60 2138 0.5938889
60 2099 0.58305556
60 2006 0.55722225
60 2194 0.60944444
60 2019 0.56083333
60 2102 0.5838889
60 2162 0.60055554
60 2067 0.57416666
60 2094 0.58166665
60 2138 0.5938889
60 2136 0.5933333
60 2163 0.60083336
60 2295 0.6375
60 2098 0.5827778
60 2127 0.5908333
60 2239 0.6219444
60 2025 0.5625
60 2268 0.63
60 2098 0.5827778
60 2128 0.5911111
60 2100 0.5833333
60 2230 0.61944443
60 2075 0.5763889
60 2231 0.61972225
60 2157 0.5991667
60 2133 0.5925
60 2190 0.60833335
60 1941 0.5391667
60 2034 0.565
60 2199 0.61083335
60 2212 0.61444443
60 2067 0.57416666
60 2090 0.58055556
60 2105 0.5847222
60 2088 0.58
60 2187 0.6075
60 2004 0.5566667
60 2056 0.5711111
60 2182 0.6061111
60 2215 0.61527777

Size : 65
65 2458 0.5817751
65 2544 0.6021302
65 2499 0.5914793
65 2351 0.5564497
65 2569 0.60804737
65 2527 0.5981065
65 2593 0.6137278
65 2446 0.5789349
65 2566 0.6073373
65 2586 0.612071
65 2541 0.6014201
65 2503 0.59242606
65 2499 0.5914793
65 2532 0.59928995
65 2399 0.56781065
65 2413 0.57112426
65 2475 0.5857988
65 2482 0.58745563
65 2499 0.5914793
65 2480 0.58698225
65 2556 0.6049704
65 2642 0.62532544
65 2614 0.61869824
65 2522 0.59692305
65 2468 0.584142
65 2416 0.5718343
65 2537 0.60047334
65 2388 0.5652071
65 2644 0.6257988
65 2446 0.5789349
65 2556 0.6049704
65 2500 0.591716
65 2566 0.6073373
65 2635 0.6236686
65 2526 0.5978698
65 2633 0.6231953
65 2613 0.61846155
