Runs: 50
Size : 50
50 1526 0.6104
50 1621 0.6484
50 1451 0.5804
50 1456 0.5824
50 1365 0.546
50 1419 0.5676
50 1473 0.5892
50 1460 0.584
50 1489 0.5956
50 1472 0.5888
50 1477 0.5908
50 1574 0.6296
50 1575 0.63
50 1572 0.6288
50 1422 0.5688
50 1468 0.5872
50 1343 0.5372
50 1446 0.5784
50 1570 0.628
50 1443 0.5772
50 1446 0.5784
50 1481 0.5924
50 1498 0.5992
50 1550 0.62
50 1471 0.5884
50 1489 0.5956
50 1471 0.5884
50 1471 0.5884
50 1392 0.5568
50 1500 0.6
50 1334 0.5336
50 1588 0.6352
50 1582 0.6328
50 1442 0.5768
50 1561 0.6244
50 1482 0.5928
50 1476 0.5904
50 1447 0.5788
50 1539 0.6156
50 1341 0.5364
50 1455 0.582
50 1532 0.6128
50 1425 0.57
50 1409 0.5636
50 1472 0.5888
50 1379 0.5516
50 1610 0.644
50 1472 0.5888
50 1513 0.6052
50 1479 0.5916

Size : 80
80 3842 0.6003125
80 3772 0.589375
80 3933 0.6145313
80 3933 0.6145313
80 3852 0.601875
80 3613 0.56453127
80 3626 0.5665625
80 3751 0.5860937
80 3871 0.60484374
80 3819 0.5967187
80 3586 0.5603125
80 3728 0.5825
80 3785 0.5914062
80 3859 0.60296875
80 3730 0.5828125
80 3809 0.59515625
80 3730 0.5828125
80 3592 0.56125
80 3931 0.6142188
80 3879 0.60609376
80 3600 0.5625
80 3922 0.6128125
80 3564 0.556875
80 3834 0.5990625
80 3715 0.5804688
80 3795 0.59296876
80 3644 0.569375
80 3692 0.576875
80 3781 0.5907813
80 3809 0.59515625
80 3703 0.57859373
80 3801 0.5939062
80 3805 0.59453124
80 3773 0.58953124
80 3846 0.6009375
80 3696 0.5775
80 3954 0.6178125
80 3861 0.60328126
80 3651 0.5704687
80 3652 0.570625
80 3883 0.6067188
80 3751 0.5860937
80 3796 0.593125
80 3788 0.591875
80 3772 0.589375
80 3699 0.5779688
80 3903 0.60984373
80 3825 0.59765625
80 3919 0.6123437
80 3688 0.57625

Size : 110
110 7319 0.60487604
110 7295 0.6028926
110 7029 0.5809091
110 6928 0.572562
110 7413 0.6126446
110 7222 0.5968595
110 6972 0.57619834
110 7403 0.6118182
110 6940 0.57355374
110 6923 0.57214874
110 7239 0.59826446
110 7295 0.6028926
110 7113 0.5878512
110 7390 0.6107438
110 7099 0.58669424
110 7367 0.60884297
110 7225 0.5971074
110 7427 0.61380166
110 7176 0.5930579
110 7381 0.61
110 7304 0.6036364
110 7234 0.5978512
110 7212 0.59603304
110 6991 0.5777686
110 7404 0.6119008
110 7138 0.58991736
110 7453 0.6159504
110 7025 0.5805785
110 7433 0.6142975
110 7244 0.5986777
110 7641 0.6314876
110 7113 0.5878512
110 7040 0.58181816
110 7327 0.6055372
110 7177 0.5931405
110 7495 0.6194215
110 7035 0.581405
110 7227 0.59727275
110 7261 0.60008264
110 7265 0.6004132
110 7190 0.59421486
110 7260 0.6
110 7175 0.5929752
110 7385 0.6103306
110 7472 0.6175207
110 7133 0.5895041
110 6995 0.5780992
110 7041 0.58190084
110 7421 0.6133058
110 7281 0.60173553

Size : 140
140 12041 0.6143367
140 12043 0.6144388
140 12191 0.6219898
140 11436 0.5834694
140 11449 0.5841327
140 11181 0.5704592
140 11661 0.594949
140 11444 0.58387756
140 10982 0.56030613
140 11450 0.5841837
140 11399 0.58158165
140 11637 0.5937245
140 11568 0.59020406
140 11387 0.5809694
140 11343 0.5787245
140 11561 0.5898469
140 11181 0.5704592
140 11596 0.59163266
140 11774 0.60071427
140 11580 0.5908163
140 11721 0.5980102
140 12045 0.6145408
140 11470 0.58520406
140 12143 0.6195408
140 11926 0.60846937
140 11555 0.58954084
140 11511 0.5872959
140 11745 0.5992347
140 11153 0.5690306
140 11467 0.585051
140 11580 0.5908163
140 11321 0.577602
140 11404 0.58183676
140 11487 0.58607143
140 11484 0.58591837
140 11693 0.59658164
140 11506 0.58704084
140 11464 0.58489794
140 11423 0.5828061
140 11752 0.59959185
140 11255 0.57423466
140 11762 0.60010207
140 11879 0.6060714
140 11652 0.5944898
140 11261 0.5745408
140 11890 0.60663265
140 12277 0.6263775
140 11522 0.5878571
140 11494 0.5864286
140 11437 0.5835204

Size : 170
170 17147 0.5933218
170 17178 0.59439445
170 17298 0.5985467
170 17496 0.60539794
170 17619 0.60965395
170 17267 0.59747404
170 16629 0.5753979
170 16623 0.5751903
170 17331 0.5996886
170 17209 0.59546715
170 16712 0.5782699
170 16922 0.58553636
170 16459 0.5695156
170 16858 0.5833218
170 17374 0.6011765
170 17251 0.59692043
170 17116 0.59224916
170 16754 0.5797232
170 16457 0.5694464
170 17037 0.58951557
170 17319 0.5992734
170 17045 0.5897924
170 17138 0.59301037
170 17147 0.5933218
170 17232 0.596263
170 16968 0.58712804
170 17412 0.6024914
170 17103 0.5917993
170 16721 0.57858133
170 17055 0.59013844
170 17009 0.5885467
170 16880 0.584083
170 17351 0.6003806
170 17763 0.61463666
170 17360 0.60069203
170 16850 0.583045
170 16529 0.57193774
170 16962 0.58692044
170 16892 0.5844983
170 17138 0.59301037
170 16604 0.57453287
170 17698 0.61238754
170 17279 0.59788924
170 17588 0.6085813
170 17624 0.609827
170 17692 0.61217993
170 16596 0.57425606
170 17029 0.58923876
170 16947 0.5864014
170 16737 0.57913494

Size : 200
200 24046 0.60115
200 23738 0.59345
200 23277 0.581925
200 23455 0.586375
200 23617 0.590425
200 23584 0.5896
200 23853 0.596325
200 23137 0.578425
200 23590 0.58975
200 24119 0.602975
200 23163 0.579075
200 23911 0.597775
200 23786 0.59465
200 23325 0.583125
200 23872 0.5968
200 24404 0.6101
200 24147 0.603675
200 23526 0.58815
200 23509 0.587725
200 23750 0.59375
200 23488 0.5872
