Runs: 10
Size : 100
100 5694 0.5694
100 6044 0.6044
100 5963 0.5963
100 5827 0.5827
100 5819 0.5819
100 6003 0.6003
100 5538 0.5538
100 5668 0.5668
100 6308 0.6308
100 6070 0.607

Size : 110
110 7170 0.59256196
110 7236 0.5980165
110 7197 0.5947934
110 7141 0.5901653
110 6911 0.57115704
110 7224 0.5970248
110 7230 0.59752065
110 7245 0.5987603
110 7526 0.62198347
110 6902 0.57041323

Size : 120
120 8877 0.61645836
120 8370 0.58125
120 8334 0.57875
120 8821 0.61256945
120 8439 0.5860417
120 8184 0.5683333
120 8758 0.6081945
120 8336 0.5788889
120 8490 0.58958334
120 8549 0.59368056

Size : 130
130 9718 0.5750296
130 9795 0.5795858
130 10116 0.5985799
130 10055 0.5949704
130 10539 0.6236095
130 9806 0.5802367
130 10034 0.5937278
130 9856 0.58319527
130 10155 0.6008876
130 9527 0.5637278

Size : 140
140 11659 0.59484696
140 11934 0.60887754
140 11486 0.5860204
140 12228 0.6238775
140 11109 0.5667857
140 11166 0.56969386
140 11631 0.59341836
140 11674 0.5956122
140 11829 0.6035204
140 11703 0.59709185

Size : 150
150 13344 0.5930667
150 13180 0.58577776
150 13432 0.5969778
150 13315 0.5917778
150 13235 0.5882222
150 13517 0.6007556
150 13291 0.5907111
150 13291 0.5907111
150 12858 0.5714667
150 13459 0.5981778

Size : 160
160 14718 0.57492185
160 15322 0.5985156
160 15342 0.59929687
160 15212 0.59421873
160 15015 0.5865234
160 15213 0.59425783
160 15160 0.5921875
160 14726 0.57523435
160 15259 0.5960547
160 15499 0.6054297

Size : 170
170 16642 0.57584774
170 17582 0.6083737
170 16932 0.58588237
170 16812 0.5817301
170 17134 0.59287196
170 18263 0.63193774
170 17737 0.61373705
170 17295 0.5984429
170 17267 0.59747404
170 16833 0.58245677

Size : 180
180 19221 0.59324074
180 19218 0.5931482
180 19430 0.59969133
180 19395 0.5986111
180 19353 0.59731483
180 19507 0.6020679
180 19689 0.6076852
180 19257 0.5943518
180 19472 0.6009877
180 18943 0.5846605

Size : 190
190 21202 0.587313
190 21113 0.5848476
190 21292 0.5898061
190 21455 0.5943213
190 20754 0.5749031
190 21090 0.5842105
190 21284 0.58958447
190 21168 0.5863712
190 21603 0.59842104
190 21681 0.6005817

Size : 200
200 22925 0.573125
200 23612 0.5903
200 23288 0.5822
200 23450 0.58625
200 23714 0.59285
200 23702 0.59255
200 23731 0.593275
200 24054 0.60135
200 23357 0.583925
200 23597 0.589925
